,BHP share of production,BHP share of production,BHP share of production
,,Year ended 30 June,2019
,2021 2020,2021 2020,2021 2020
Production volumes,,,
Crude oil and condensate ('OOO of barrels) Australia,,,14.365
United States -Conventional,"11,918",14.044,28.047
,"23,165",23.345,
United States - Onshore US),-,1,6.411
Other(2),"3,646",3.823,4.885
Total crude oil and condensate,"38,729","41,212","53,708"
Naturalgas (billon cubic feet),,,
Australia,280.9,292.6,310.1
United States - Conventional,7.3,8.1,10.4
United States- Onshore US,-,1,96.3
Other(2) Total natural gas,52.4,58.9,76.2
Naturalgas liquids(3)(‘OOO of barrels),340.6,359.6,493.0
Australia,6.007,6.462,"6,265"
United States- Conventional United States - Onshore US),"1,306",1.189,1.581
,-,-,"3,505"
Other(2),-,1,42
Total NGL(3),"7,313","7,651",11.392
Total productionofpetroleum products (milion barrels ofoilequivalent)4),,,
Australia,64.7,69.3,72.3
United States - Conventional,25.7,25.9,31.4
United States - Onshore US Other(2),-,-,26.0
Total productionof petroleum products,12.4,13.6,17.6
Average sales price,102.8,108.8,147.3
Crude oil and condensate(US$ per barrel),,,
Australia,,,
United States-Conventional,53.31,52.38,69.50
United States - Onshore US),51.74,46.69,64.65
Other(2),,1,68.02
Total crude oil and condensate,55.33,56.05,68.86
Naturalgas (US$per thousand cubic feet),52.56,49.53,66.73
Australia,5.12,,
United States-Conventional,2.75,5.60,7.00 3.22
United States - Onshore US,-,2.20,
Other(2),3.23,-,2.90
Total natural gas,,2.60,2.87
Naturalgasliquids (US$per barrel),4.79,5.02,5.50
Australia,34.16,27.51,36.54
United States - Conventional,20.82,13.44,25.73
United States - Onshore USm,-,,27.74
Other(2),-,-,28.66
Total NGL,,1,
Totalaverageproductioncost (US$perbarrelofoilequivalent,31.63,25.36,32.17
Australia,,,
,6.40,7.12,8.98
United States -Conventional,8.43,4.57,5.29
United States - Onshore USm,-,1,4.93
Other(2),5.20,4.94,6.41
Total average production cost,6.76,6.24,7.18
