Proved Undeveloped Reserves (PUD)Reconciliation(MMboe)(a),Year Ended 30 June,Year Ended 30 June,Year Ended 30 June
Proved Undeveloped Reserves (PUD)Reconciliation(MMboe)(a),2021,2020,2019
PUD Opening Balance,238,219,421
Revisions of Previous Estimates,(41),(12),(18)
Reclassifications to developed,(44),8,（42)
"Performance, Technical Studies and Other",(2),1,16
Development Plan Changes,-,（0）,8
Price,5,（4,-
Extensions/Discoveries,-,31,1
Acquisitions/Sales,3,1,(185)
Total Change,(38),19,(202)
PUD Closing Balance,200,238,219
