Type of temporary difference,Deferred tax assets,Deferred tax liabilities,2020 US$M Restated,Charged/(credited) to the income statement,2021 US$M,2020 US$M,2019 US$M
Depreciation(1)(2),-1349,-2749,4716,2828,488,1394,-951
Exploration expenditure,51,398,-,-,347,51,43
Employee benefits,94,353,-333,-68,-38,14,
Closure and rehabilitation,638,2100,-2086,-515,-334,-53,
Resource rent tax,122,359,368,921,-309,-119,-179
Other provisions,108,173,-227,-239,77,-268,2
Deferred income,11,-4,-16,-,-31,33,-9
Deferred charges,-36,-383,602,187,68,-132,56
"Investments, including foreign tax credits",147,348,671,458,414,"""-77,70""",
Foreign exchange gains and losses,-3,-134,133,-61,63,-18,-45
Tax losses,1999,2759,-82,-,678,-148,1147
Lease liability(1),68,548,-658,-245,67,793,
Other,62,-80,226,65,46,114,-10
Total,1912,3688,3314,3779,1325,-335,81
