Australia(c),United States,Other(d),Total
Reserves at 30 June 2018,"2,412.5(e)","2,160.1(f)(i)","328.6(g),4901.2(h)(i)"
Improved recovery,-,-,"-,-"
Revisions of previous estimates,53.7,14.0,"24.7,92.4"
Extensions and discoveries,2.5,0.4,"-,3.0"
Purchase/sales of reserves,-,1952.8,"-,1952.8"
Production(b),-336.8,-109.4,"-77.8,-524.1"
Total changes,-280.6,-2047.8,"-53.1,-2381.5"
Reserves at 30 June 2019,"2,131.9(e)",112.3(f),"275.5(g),2519.7(h)"
Improved recovery,-,-,"-,-"
Revisions of previous estimates,-111.7,14.2,"5.6,-92.0"
Extensions and discoveries,62.4,-,"84.0,146.5"
Purchase/sales of reserves,-,-,"-,-"
Production(b),-317.3,-10.7,"-60.7,-388.7"
Total changes,-366.6,3.5,"28.9,-334.2"
Reserves at 30 June 2020,"1,765.3(e)",115.8(f),"304.4(g),2185.5(h)"
Improved recovery,-,-,"-,-"
Revisions of previous estimates,15.4,-8.6,"27.2,34.0"
Extensions and discoveries,-,0.4,"-,0.4"
Purchase/sales of reserves,-,7.5,"-,7.5"
Production(b),-304.4,-9.9,"-54.9,-369.2"
Total changes,-289.0,-10.6,"-27.7,-327.3"
Reserves at 30 June 2021,"1,476.3(e)",105.2(f),"276.7(g),1858.2(h)"
Developed,,,
Proved developed natural gas reserves as of 30 June 2018,1975.9,1479.4,"328.6,3783.8"
as of 30 June 2019,1856.4,65.5,"275.5,2197.3"
as of 30 June 2020,1453.1,73.4,"220.4,1746.9"
Developed reserves as of 30 June 2021,1262.5,69.5,"199.4,1531.5"
Undeveloped,,,
Proved undeveloped natural gas reserves as of 30 June 2018,436.6,680.7,"-,1117.3"
as of 30 June 2019,275.5,46.8,"-,322.3"
as of 30 June 2020,312.2,42.4,"84.0,438.6"
Undeveloped reserves as of 30 June 2021,213.8,35.6,"77.3,326.7"
