Land(2),,,
,"Land owned, leased or managed",hectares,"8,661,679"
- Land disturbed,hectares,"175,168","151,000"
- Land rehabilitated(3),hectares,"27,377","26,050"
- Land set aside for conservation(3)(4),hectares,"66,822","66,500"
Water(5)(8),,,
Withdrawals(6),ML,"438,660","380,330"
Water withdrawals by quality - Type 1,ML,"54,310","51,610"
Water withdrawals by quality - Type 2,ML,"36,970","35,670"
Water withdrawals by quality - Type 3,ML,"347,390","293,060"
Water withdrawals by source - Surface water(7),ML,"30,350","45,190"
Water withdrawals by source - Groundwater,ML,"100,700","123,660"
Water withdrawals by source - Sea water,ML,"284,700","211,510"
Water withdrawals by source - Third-party water(6),ML,"22,910",
Total water withdrawals (water stress areas)(9),ML,"233,190",
Discharges,ML,"438,660","380,330"
Water discharges by quality - Type 1,ML,0,0
Water discharges by quality - Type 2,ML,"2,390","3,740"
Water discharges by quality - Type 3,ML,"201,060","144,110"
Water discharges by destination - Surface water,ML,"2,450","3,970"
Water discharges by destination - Groundwater,ML,"9,670","9,440"
Water discharges by destination - Sea water,ML,"190,660","134,120"
Water discharges by destination - Third-party,ML,660,310
Total water discharges (water stress areas),ML,"123,200",
Consumption,ML,"438,660","380,330"
Consumption - evaporation,ML,"141,430","127,080"
Consumption - entrainment,ML,"107,270","109,550"
Consumption - other,ML,"18,450","22,440"
Total consumption (water stress areas),ML,"106,950",
Recycled/reused,ML,"262,430","250,090"
Diversions,ML,,
Diversions - withdrawals,ML,"103,320","103,750"
Diversions - discharges,ML,"68,910","79,430"
Waste,,,
Hazardous waste - Mineral total (including tailings)(10),kilotonnes,"20,420","15,000"
Non-hazardous waste - Mineral tailings(10),kilotonnes,"178,000","175,000"
Accidental discharges of water and tailings(11)(12),megalitres,0,0
