As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,,,As at 30 June 2020,As at 30 June 2020
,,Measured Resources,Measured Resources,Indicated Resources,Indicated Resources,_Inferred Resources,_Inferred Resources,Total Resources,Total Resources,BHP,Total Resources,Total Resources
Commodity deposit(zty,Ore type,Mt,%Ni,Mt,%Ni,Mt,%Ni,Mt,%Ni,interest %,Mt,%Ni
Nickel West operations,Nickel West operations,,,,,,,,,,,
Leinster(3),OC Disseminated Sulphide,4.1,0.72,77,0.58,52,0.64,133,0.60,100,167,0.53
,OC Massive Sulphide,0.25,4.4,1.0,4.9,0.37,4.7,1.6,4.8,,,-
,OC,1,1,1,1,1,1,1,-,,12,11
,UG Disseminated Sulphide,15,1.9,10,1.3,3.2,1.2,28,1.6,,,1
,UG Massive Sulphide,0.63,4.5,2.4,4.9,1.1,4.1,4.2,4.6,,,1
,UG,1,1,1,1,1,1,-,-,,- 32,2.0
,Oxide,1,1,1,1,5.2,1.8,5.2,1.8,,5.3,1.8
,SP,1,,1.5,0.76,1,1,1.5,0.76,,0.89,0.75
,SP Oxidised,,,=,=,1.9,1.7,1.9,1.7,,1.9,1.7
Mt Keith(4),OC Disseminated Sulphide,133,0.54,67,0.52,24,0.52,224,0.53,100,224,0.53
,SP,3.6,0.49,,,二,1,3.6,0.49,,,0.58
Cliffs(5),UG Disseminated Sulphide,1,1,6.3,0.86,1.6,1.0,7.9,0.89,100,7.1 -,1
,Disseminated Sulphide,二,1,1,=,二,1,1,1,,8.3,0.90
,UG Massive Sulphide,0.79,3.6,1.1,3.6,0.47,3.6,2.3,3.6,,-,-
,Massive Sulphide,1,1,1,1,1,1,1,1,,2.6,3.7
Yakabindie(6),OC Disseminated Sulphide,137,0.59,107,0.62,170,0.61,414,0.61,100,425,0.61
,SP,2.1,0.59,1,1,1,1,2.1,0.59,,,1
Venus,UG Disseminated Sulphide,1.2,1.5,5.4,1.8,1.1,1.1,7.7,1.7,100,1,1
,Disseminated Sulphide,1,1,1,1,1,1,1,1,,8.1,1.7
,UG Massive Sulphide,0.11,6.0,0.70,6.4,0.35,6.2,1.2,6.3,,1,-
,Massive Sulphide,1,1,1,,1,1,1,1,,1.1,6.3
Nickel West projects,Nickel West projects,,,,,,,,,,,
Honeymoon Wel|(8),OC Disseminated Sulphide,1,1,138,0.62,6.5,0.66,144,0.62,100,1,1
,UG Disseminated Sulphide,9.1,0.72,18,0.75,3.8,0.74,31,0.74,,,
,UG Massive Sulphide,0.35,6.0,0.92,6.4,0.17,6.6,1.4,6.3,,1,1
Jericho(8,OC Disseminated Sulphide,1,1,,,31,0.59,31,0.59,100,,310.59
West Jordan(8),OC Disseminated Sulphide,1,1,1,1,43,0.52,43,0.52,100,1,1
