,Net exploratory wells,Net exploratory wells,Net exploratory wells,Net development wells,Net development wells,Net development wells,
,Productive,Dry,Total,Productive,Dry,Total,Total
Year ended 30 June 2021,,,,,,,
Australia,,,,1,,1,1
"United States""",,,,1,,1,1
Other(2),,1,1,1,,1,2
Total,,1,1,3,,3,4
Year ended 30 June 2020,,,,,,,
Australia,,,,,,1,/
United States(,,,,,1,1,1
Other(2),1,1,2,1,,1,3
Total,,,2,1,1,2,4
Year ended 30 June 2019,,,,,,,
Australia,,,,1,,1,1
United States()),,,1,33,,33,34
Other(2),4,2,6,1,,1,6
Total,5,2,7,34,,34,41
