2021 US$M,Associates,Antamina,Cerrejõn,Individually immaterial,Joint ventures,Samarco,Individually immaterial,Total
Current assets,"1,499",-,-,-,509,-,-,"1,998"
Non-current assets,"4,885",-,-,-,"4,380",-,-,"9,265"
Current liabilities,"(1,285)",-,-,-,"(9,222)",(4),-,"(10,507)"
Non-current liabilities,"(1,062)",-,-,-,"(7,627)",-,-,"(8,689)"
Net assets/(liabilities) - 100%,"4,037",-,-,-,"(11,960)",-,-,"(7,923)"
Net assets/(liabilities) - Group share,"1,362",-,-,-,"(5,980)",-,-,"(4,618)"
Adjustments to net assets related to accounting policy adjustments,-,-,-,-,280,(5),-,280
Investment in Samarco,-,-,-,-,516,(6),-,516
Impairment of the carrying value of the investment in Samarco,-,-,-,-,"(1,041)",(7),-,"(1,041)"
Additional share of Samarco losses,-,-,-,-,"4,442",(8),-,"4,442"
Unrecognised losses,-,-,-,-,"1,783",(9),-,"1,783"
Carrying amount of investments accounted for using the equity method,"1,362",-,-,380,-,-,-,"1,742"
Revenue - 100%,"4,822",844,814,-,-,-,-,"5,476"
Profit/(loss) from Continuing operations - 100%,"1,847",(43),-,-,"(2,202)",(10),-,"(2,345)"
Share of profit/(loss) of equity accounted investments,623,(14),-,-,"(1,076)",(11),-,"(1,473)"
Impairment of the carrying value of the investment in Cerrejõn,-,(466),-,-,-,-,-,(466)
Impairment of the carrying value of the investment in Samarco,-,-,-,-,(111),(7),-,(111)
Additional share of Samarco losses,-,-,-,-,85,-,-,85
Fair value change on forward exchange derivatives,-,-,-,-,136,-,-,136
Unrecognised losses,-,-,-,-,(24),(9),-,(24)
"Profit/(loss) from equity accounted investments, related impairments and expenses",623,(480),(74),(990),-,-,-,(921)
Comprehensive income - 100%,"1,847",(43),-,-,"(2,202)",-,-,"(2,345)"
Share of comprehensive income/(loss) - Group share in equity accounted investments,623,(480),(74),(990),-,-,-,(921)
Dividends received from equity accounted investments,714,13,10,-,-,-,-,737
