"Smelter, refinery",Location,Ownership Operator,"Title, leases oroptions",Product,Power source,Nominal production capacity
or processing plant Nickel West,,,,,,
Kambalda Nickel concentrator,"56 km south of Kalgoorlie,",BHP100%BHP,Mineralleases granted by Western,Concentrate containing approximately,On-site third- party gas-fired turbines,1.6 Mtpa ore Ore sourced through tolling
,Western Australia,,Australian Government Key leases expire in 2028,13% nickel,supplemented by access to grid power Contracts expire in December,and concentrate purchase arrangements with third parties in Kambalda
,Western Australia,,Australian Government Key leases expire in 2028,13% nickel,2038 Natural gas sourced and transported under separate long-term contracts,region
"Kalgoorlie Nickel smelter Kalgoorlie, BHP100%BHP Western Australia","Kalgoorlie Nickel smelter Kalgoorlie, BHP100%BHP Western Australia","Kalgoorlie Nickel smelter Kalgoorlie, BHP100%BHP Western Australia","Kalgoorlie Nickel smelter Kalgoorlie, BHP100%BHP Western Australia",Matte containing overthepropertyapproximately 65% nickel,On-site third- party gas-fired turbines supplemented,110 ktpa matte
,,,,,byaccess to grid power Contracts expire in December 2038,
,,,,,Natural gas sourced and transported under separate long-term contracts,
Nickel refinery,"30 km south of Perth,Western Australia",BHP100%BHP,Freehold title,"London Metal over the property Exchange (LME) grade sourced from nickel briquettes, nickel powder","Power is the local grid,which is",82.5 ktpa matte
,,,,,,(with approval to increase up
,,,,"Also intermediate products,including copper sulphide, cobalt-nickel-sulphide, ammonium-sulphate",supplied under a retail contract,to90 kpta)
