2020 US$M,Associates,Associates,Associates,Joint ventures,Samarco,Individually immaterial,Total
Current assets,974,712,,49,2462,3601,3
Non-current assets,4743,2462,,3601,2462,3601,3
Current liabilities,-239,-170,,-7961,2462,3601,3
Non-current liabilities,-1173,-854,,-5447,2462,3601,3
Net assets/(liabilities) - 100%,4305,2150,,-9758,2462,3601,3
Net assets/(liabilities) - Group share,1453,717,,-4879,2462,3601,3
Adjustments to net assets related to accounting policy adjustments,59,256,,256,2462,3601,3
Investment in Samarco,405,405,,405,2462,3601,3
Impairment of the carrying value of the investment in Samarco,930,930,,930,2462,3601,3
Additional share of Samarco losses,3341,3341,,3341,2462,3601,3
Unrecognised losses,1807,1807,,1807,2462,3601,3
Carrying amount of investments accounted for using the equity method,1453,776,356,-4879,2462,3601,3
Revenue - 100%,2464,1091,,26,2462,3601,3
Profit/(loss) from Continuing operations - 100%,629,-182,,-3617,2462,3601,3
Share of profit/(loss) of equity accounted investments,212,-68,,-1918,2462,3601,3
Impairment of the carrying value of the investment in Samarco,95,95,,95,2462,3601,3
Additional share of Samarco losses,93,93,,93,2462,3601,3
Unrecognised losses,1412,1412,,1412,2462,3601,3
"Profit/(loss) from equity accounted investments, related impairments and expenses",212,-68,-148,-508,2462,3601,3
Comprehensive income/(loss) - 100%,629,-182,,-3617,2462,3601,3
Share of comprehensive income/(loss) - Group share in equity accounted investments,212,-68,-148,-508,2462,3601,3
Dividends received from equity accounted investments,105,9,12,,,,3
