BHP share of production(1),BHP interest%,2021,2020,2019
Copper(2),,,,
Payable metal in concentrate ('000 tonnes),,,,
"Escondida, Chile(3)",57.5,871.7,925.9,882.1
"Pampa Norte, Chile(5)",100,27.4,0,0
"Antamina, Peru(4)",33.75,144.0,124.5,147.2
Total copper concentrate,,"1,043.1","1,050.4","1,029.3"
Copper cathode ('000 tonnes),,,,
"Escondida, Chile(3)",57.5,196.5,259.4,253.2
"Pampa Norte, Chile(5)",100,190.8,242.7,246.5
"Olympic Dam, Australia",100,205.3,171.6,160.3
Total copper cathode,,592.6,673.7,660.0
Total copper concentrate and cathode,,"1,635.7","1,724.1","1,689.3"
Lead,,,,
Payable metal in concentrate ('000 tonnes),,,,
"Antamina, Peru(4)",33.75,2.5,1.7,2.4
Total lead,,2.5,1.7,2.4
Zinc,,,,
Payable metal in concentrate ('000 tonnes),,,,
"Antamina, Peru(4)",33.75,145.1,88.5,98.1
Total zinc,,145.1,88.5,98.1
Gold,Payable metal in concentrate ('000 ounces),,,
"Escondida, Chile(3)",57.5,167.0,177.4,286.0
"Olympic Dam, Australia (refined gold)",100,146.0,146.0,107.0
Total gold,,313.0,323.4,393.0
Silver,Payable metal in concentrate ('000 ounces),,,
"Escondida, Chile(3)",57.5,"5,759","6,413","8,830"
"Antamina, Peru(4)",33.75,"5,965","4,116","4,758"
"Olympic Dam, Australia (refined silver)",100,810,984,923
Total silver,,"12,534","11,513","14,511"
Uranium,Payable metal in concentrate (tonnes),,,
"Olympic Dam, Australia",100,"3,267","3,678","3,565"
Total uranium,,"3,267","3,678","3,565"
Molybdenum,Payable metal in concentrate (tonnes),,,
"Antamina, Peru(4)",33.75,863,"1,666","1,141"
Total molybdenum,,863,"1,666","1,141"
