Year of expiry,2021 US$M,2020 US$M
Income tax losses,Not later than one year,"13,474"
Income tax losses,Later than one year and not later than two years,"5,240"
Income tax losses,Later than two years and not later than five years,"105,2.525"
Income tax losses,Later than five years and not later than 10 years,"1,449,679"
Income tax losses,Later than 10 years and not later than 20 years,"3,347,2.379"
Income tax losses,Unlimited,"4,799,2.262"
Income tax losses,,"9,718,8.559"
Capital tax losses,Not later than one year,"-,-"
Capital tax losses,Later than two years and not later than five years,"-,-"
Capital tax losses,Unlimited,"4,238"
Gross amount of tax losses not recognised,13956,12709
Tax effect of total losses not recognised,3569,2405
