1.10.2 Minerals Australia 22,1.10.2 Minerals Australia 22
1.10.3 Minerals Americas,24
1.10.4 Petroleum,26
1.10.5 Commercial,27
1.11 Exploration,28
1.12 People and culture,30
1.13 Sustainability,32
1.13.1 Our sustainabilityapproach,32
1.13.2 Our materialsustainability issues,33
1.13.3 Our sustainability performance:Non-financial KPls,34
1.13.4 Safety,35
1.13.5 Health,36
1.13.6 Ethicsand business conduct,37
1.13.7 Climate change andportfolio resilience,38
1.13.8 Community,44
1.13.9 Human rights,44
1.13.10 Indigenous peoples,45
1.13.11 Social investment 46,1.13.11 Social investment 46
