Australia US$M,United States US$M,Other US$M,Total US$M
Capitalised cost,,,
2021,,,
Unproved properties,,754,580
-,,,
754,,,
580,,,
"""1,334""",,,
Proved properties,"17,882","13,210","1,972"
Total costs,"17,882","13,964","2,552"
"""Less: Accumulated depreciation, depletion, amortisation and valuation provisions""","(12,720)","(8,329)","(1,483)"
Net capitalised costs,"5,162","5,635","1,069"
2020,,,
Unproved properties,10,808,576
Proved properties,"17,079","12,538","1,743"
Total costs,"17,089","13,346","2,319"
"""Less: Accumulated depreciation, depletion, amortisation and valuation provisions""","(11,423)","(8,726)","(1,370)"
Net capitalised costs,"5,666","4,620",949
2019,,,
Unproved properties,10,875,458
Proved properties,"16,514","11,751","1,625"
Total costs,"16,524","12,626","2,083"
"""Less: Accumulated depreciation, depletion, amortisation and valuation provisions""","(10,867)","(8,339)","(1,302)"
Net capitalised costs,"5,657","4,287",781
