Year ended 30 June 2020,Underlying,Underlying,Underlying,Underlying,Underlying,Underlying,Underlying,
US$M (Restated),Revenue,EBITDA,D&A,,Net operating assets,Capital expenditure,Exploration gross,Exploration toprofit
Escondidam,6.719,3.535,1143,2.392,12.013,919,,
Pampa Norte(2),1395,599,316,283,3.187,955,,
Antamina(3),832,468,114,354,"1,453",205,,
Olympic Dam(6),"1,463",212,291,（79),8.601,538,,
Other(l4,1,(202),58,（260）,103,22,,
Total Copper from,,,,,,,,
Group production,"10,409",4.612,1.922,2.690,"25,357",2.639,,
Third-party products,1089,41,-,41,1,-,,
Total Copper,"11,498","4,653",1.922,"2,731","25,357",2.639,62,57
Adjustment for equity,,,,,,,,
accounted investments(5),(832),(306),(165),(141),1,(205),（8),(3)
Total Copper statutory result,"10,666",4.347,"1,757","2,590","25,357","2,434",54,54
