Executive Director,Financial year,"Single total figure of remuneration, US$('000)",CDP/STIP (% of maximum),LTIP (% of maximum)
Mike Henry,FY2021,"14,521",77,100
Mike Henry,FY2020,"6,069",64,48
Andrew Mackenzie,FY2020,"2,424",64,48
Andrew Mackenzie,FY2019,"3,531",32,0
Andrew Mackenzie,FY2018,"4,657",60,0
Andrew Mackenzie,FY2017,"4,554",57,0
Andrew Mackenzie,FY2016,"2,241",0,0
Andrew Mackenzie,FY2015,"4,582",57,0
Andrew Mackenzie,FY2014,"7,988",77,58
Andrew Mackenzie,FY2013,"9,740",47,65
Marius Kloppers,FY2013,"5,624",47,65
Marius Kloppers,FY2012,"16,092",0,100
