Australia,United States(7),Other(8),Total
Oil and gas revenue(1),"2,272","1,244",368
Production costs,(487),(267),(93)
Exploration expenses,(23),(164),(305)
"Depreciation, depletion, amortisation and valuation provision(2)","(1,210),489,(113)","1,812",
Production taxes(3),(125),-,(11)
,427,324,(154)
Accretion expense(4),(89),(22),(7)
Income taxes,(46),(78),(115)
Royalty-related taxes(5),11,,-
Results of oil and gas producing activities(6),303,224,(276)
Oil and gas revenue(1),"2,535","1,101",350
Production costs,(575),(161),(80)
Exploration expenses,(37),(271),(252)
"Depreciation, depletion, amortisation and valuation provision(2)","(906),476,(75)","1,457",
Production taxes(3),(177),-,(13)
,840,192,(70)
Accretion expense(4),(78),(24),(10)
Income taxes,(275),(35),(157)
Royalty-related taxes(5),85,1,
Results of oil and gas producing activities(6),402,133,(237)
Oil and gas revenue(1),"3,404","2,675",610
Production costs,(752),(568),(118)
Exploration expenses,(44),(162),(229)
"Depreciation, depletion, amortisation and valuation provision(2)","(917),621,(103)","1,641",
Production taxes(3),(198),-,(25)
,"1,493","1,324",135
Accretion expense(4),(80),(34),(13)
Income taxes,(530),(193),(267)
Royalty-related taxes(5),164,,-
Results of oil and gas producing activities(6),719,"1,097",(145)
