,Revenue,"Totalexpenses, Otherincome and Loss fromequity accounted investments",Profit from,"Depreciation, amortisation and impairments","Depreciation, amortisation and impairments"
,Revenue,"Totalexpenses, Otherincome and Loss fromequity accounted investments",Profit from,operations,and Exceptional Underlying uSM
Year ended 30 June 2020,US$M,US$M,US$M,,US$M
Revenue,,,,,
,"42,931",,,,
Other income Expenses excluding net finance costs,,"777 (28,775)",,,
"Lossfrom equity accountedinvestments, relatedimpairments and expenses",,(512),,,
"Totalother income,expensesexcludingnetfinancecostsandlossfromequity",,,,,
"accounted investments,related impairments and expenses",,"(28,510)","14,421",,
"Profit from operations Depreciation,amortisationand impairments)",,,,"6,606",
"Exceptionalitem includedin Depreciation,amortisationandimpairments",,,,(409),
,,,,"1,453",
Exceptionalitems Underlying EBITDA,,,,,"22,071"
Change in sales prices,"17,186",(221),"16,965",1,"16,965"
Price-linked costs,1,(870),(870),1,(870)
Net price impact,"17,186",(1.091),"16,095",1,"16,095"
Change in volumes,(371),59,(312),1,(312)
Operating cash costs,1,(34),(34),1,
Explorationand business development,1,109,109,1,(34) 109
Change in controllable cash costs(2),1,75,75,=,75
Exchange rates,104,(1.692),"(1,588)",,"(1,588)"
Inflation on costs,,(286),(286),,(286)
Fuel and energy,,223,223,1,223
Non-cash,1,282,282,1,282
One-offitems,(142),20,(122),1,(122)
Change in other costs,(38),"(1,453)","(1,491)",,"(1,491)"
Asset sales,-,17,17,,17
Ceased and sold operations,(22),264,242,,242
Other,1131,（449),682,1,682
"Depreciation,amortisationand impairments",1,(891),(891),891,
Exceptional items,,(2.932),"(2,932)","2,932",1 1
Year ended 30 June 2021,,,,,
Revenue,"60,817",,,,
Other income,,510,,,
Expenses excluding net finance costs,,"(34,500)",,,
"Loss from equity accounted investments, related impairments and expenses",,(921),,,
"Total other income,expenses excluding net finance costsand lossfrom equity accounted investments,related impairments and expenses",,"(34,911)",,,
Profit from operations,,,"25,906",,
"Depreciation,amortisationand imparments()",,,,"9,459",
"Exceptionalitem included in Depreciation,amortisation and impairments",,,,"(2,371)",
Exceptional items,,,,"4,385",
