Employee benefits expense:,2021,US$M,2020,US$M,2019,US$M
"Wages, salaries and redundancies",4399,3706,,,3683,
Employee share awards,124,129,,,138,
Social security costs,3,2,,,4,
Pension and other post-retirement obligations,316,283,,,292,
Less employee benefits expense classified as exploration and evaluation expenditure,-119,-65,,,-85,
Changes in inventories of finished goods and work in progress,-334,-326,,,496,
Raw materials and consumables used,4940,5509,,,4591,
Freight and transportation,2037,1981,,,2378,
External services,5260,4404,,,4745,
Third-party commodity purchases,2230,1139,,,1069,
Net foreign exchange losses/(gains),310,-603,,,-147,
Fair value change on derivatives(1),145,422,,,8,
Government royalties paid and payable,3217,2362,,,2538,
Exploration and evaluation expenditure incurred and expensed in the current period,430,517,,,516,
Depreciation and amortisation expense,6824,6112,,,5829,
Net impairments:,,,,,,
"Property, plant and equipment",2583,494,,,250,
Goodwill and other intangible assets,52,-,,,14,
All other operating expenses,2083,2709,,,1703,
Total expenses,34500,28775,,,28022,
Insurance recoveries(2),-46,-489,,,-57,
Other income(3),-464,-288,,,-336,
Total other income,-510,-777,,,-393,
