,Associates,Associates,Associates,Joint ventures,Joint ventures,Joint ventures
2019,Revenue - 100%,Antamina,Cerrejón,Individually immaterial,Joint ventures,Samarco (2)
US$M,3203,2094,,24,,1168
Profit/(loss) from Continuing operations - 100%,,1168,309,,"(2,166)10)",
Share of profit/(loss) of equity accounted investments,,394,103,,(1.075)m,
Impairment of the carrying value of the investment in Samarco,,/,1,,(96)m,
Additional share of Samarco losses,,1,1,,108,
Unrecognised losses,,,,,1189,
"""Profit/(loss) from equity accounted investments, related impairments and expenses""",,394,103,-98,-945,
Comprehensive income/(loss) - 100%,,1168,309,(2.166),,
Share of comprehensive income/(loss) - Group share in equity accounted investments,,394,103,(98),-945,
Dividends received from equity accounted investments,,361,134,15,,-
