,"Australia ""US$M",United States US$M,Other() US$M,Total US$M
Standardised measure,,,,
2021,,,,
Future cash inflows,"8,948","13,437","1,561","23,946"
Future production costs,"(3,783)","(5,122)",(418),"(9,323)"
Future development costs,"(4,118)","(2,996)",(261),"(7,375)"
Future income taxes(2),706,(944),(438),(676)
Future net cash flows,"1,753","4,375",444,"6,572"
Discount at 10 per cent per annum,(160),"(1,468)",(93),"(1,721)"
Standardised measure,"1,593","2,907",351,"4,851"
2020,,,,
Future cash nflows,11.526,12.997,"1,660","26,183"
Future production costs,,,,"（9,464)"
Future development costs,"(4,027) (4,124)","(4,943) (3.242)",(494),(7.799)
Future income taxes(2),（187),（880),(433) (473),(1.540)
Future net cash flows,"3,188",3.932,260,7.380
Discount at 10 per cent per annum,,(1.586),(94),"(2,322)"
Standardised measure,(642) 2.546,2.346,166,"5,058"
2019,,,,
Future cash inflows,18.292,18.076,1.807,"38,175"
Future production costs,"(4,710)","(4,917)",(459),"(10,086)"
Future developmentcosts,"(3,860)",(4.516),(226),(8.602)
Future income taxes(2),(2.551),"(1,657)",(711),"(4,919)"
Future net cash flows,7.171,6.986,411,14.568
Discount at 10 per cent per annum,(1.926),"(3,396)",(94),"(5,416)"
Standardised measure,"5,245","3,590",317,"9,152"
