As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,As at 30 June 2021,,,,
,,,Proved Reserves,Probable Reserves,Total Reserves,,Proved Marketable Reserves,Proved Marketable Reserves,Proved Marketable Reserves,Probable Marketable Reserves,Probable Marketable Reserves,Probable Marketable Reserves,Probable Marketable Reserves
Commodity depost0(2()67),Miningd method,Coal type,Mt,Mt,Mt,Mt,%Ash,%VM,%S,Mt%Ash,,%VM,%S
Metallurgical coal operations,,,,,,,,,,,,,
Queensland coal,,,,,,,,,,,,,
CQCA JV,,,,,,,,,,,,,
Goonyella Riversidet9),OC,Met,494,19,513,391,9.1,25.2,0.53,14,10.9,28.4,0.56
Broadmeadow(9),UG,Met,53,106,159,41,8.1,23.9,0.54,67,10.0,23.3,0.55
Peak Downs10)(1),OC,Met/Th,769,296,"1,065",455,10.6,21.8,0.58,168,10.6,22.1,0.69
Caval Ridge,OC,Met,222,111,333,128,11.0,22.3,0.57,68,11.0,22.4,0.57
Saraj(op12,OC,Met/Th,457,54,511,294,10.5,17.9,0.63,24,10.6,19.2,0.88
Norwich Park(13),OC,Met,159,70,229,116,10.3,16.8,0.70,49,10.2,16.6,0.70
Blackwater1014,OC,Met/Th,161,225,386,140,8.8,26.5,0.43,191,9.1,26.2,0.42
Daunia(15),OC,Met/PCI,60,25,85,53,8.1,20.4,0.34,20,8.3,20.0,0.35
BHP Mitsui Coal,,,,,,,,,,,,,
South Walker Creek16),OC,Met/PCI,87,36,123,69,9.2,13.6,0.29,29,9.2,13.2,0.29
Poitre[(17),OC,Met,24,24,48,20,7.9,23.0,0.31,19,8.4,23.3,0.31
