2021 Other individually immaterial,2021 Other individually immaterial,2021 Other individually immaterial,2021 Other individually immaterial,2020,2020,2020
,,,Other individually,Other individually,Other individually,
US$M,US$M,US$M,immaterial,immaterial,immaterial,
,,,Minera subsidiaries,Minera subsidiaries,Minera subsidiaries,
Escondida,Minera subsidiaries (incl. intra-group,,Escondida,(incl.intra-group,,
Limitada,eliminations),Total,Limitada,eliminations),Total,
Group share (per cent),57.5,,,57.5,,
Current assets,"2,996",,2.432,,,
Non-current assets,"11,867",,"12,121",,,
Current liabilites,"(1,912)",,(1.614),,,
Non-current liabilities,"(4,733)",,"(4,613)",,,
Net assets,"8,218",,"8,326",,,
Net assets atributable to NCl,"3,493","848 4,341",3.539,771,"4,310",
Revenue,,,,6.719,,
Profit after taxation,"9,470 3.605",,1088,,,
Other comprehensive income,.6027,,,,,
Total comprehensiveincome,"3,632",,,(27) 1.061,,
Profit after taxation atributable to NCl,1.532,615,"2,147",462,780,
Other comprehensive income attributable to NCl,11,一,11,(11),318 (11) 1,
Net operating cash flow,"5,007",,,"2,637",,
Netinvesting cash flow,(655),,（919）,,,
Net financing cash flow,"(4,001)",,(1.920),,,
Dividends paid to NCl,"1,590",537,"2,127",757 286,1043,
