,2021,2020,20
Earnings attributable to BHP shareholders,"11,304",7.956,"8,306"
Adjusted for:,,,
"(Gain)/loss onsales of property,plant and equipment,Investmentsand Operations"")",(50),4,(52)
"Impairments of property, plant and equipment, financial assetsand intangibles","2,633",494,264
Samarco impairment expense,1,95,96
Cerrejon impairment expense,466,-,三
Other(2),-,48,1
Recycling of re-measurements from equity to the income statement,-,-,(6)
Tax effect of above adjustments,(60),54,(64)
Subtotal of adjustments,"3,100",695,238
Headline earnings,"14,404",8.651,8.544
Diluted headline earnings,"14,404","8,651","8,544"
