Water Stewardship Strategy pillar,What we did in FY2021
Risk Embed processes and systems to effectively,"In FY2021,operated assets progressed their action plans towards achieving compliance with the new BHP Water management standards,for example,through development of Water Safety Plans"
manage water-related risk and realise opportunities at a catchment levelin the short and longer term.,"for drinking water, updates to water data management systemsand operated asset water strategies. We progressed the development of control effectiveness standards for each critical control for management of our water-related catchment risks and these willbe implemented in FY2O22.Water-"
"Technology Leverage technology solutions that drivea step- change reduction in water-related risks, realise","related risks are managed in line with the BHP risk process.For more information,refer to section 1.9. Water treatment technologies that were shortlisted in FY2O2O commenced bench-scale trials and techno-economic assessments at our Olympic Dam operations in FY2021."
opportunities and deliver multiple benefits. Value Effectively value water in investment and operated asset decisions through,"Water Stewardship is identified as a social value priorityat allour operated assets.In FY2O21, we undertook a review of available evaluation tools and mapped these against the current water evaluation process undertaken in BHP.We are currently scoping the next phase of work which will"
"integration into strategy, planning and evaluation frameworks. Disclosure Transparently disclose water-related risks, management and performance at an operated asset level.","include a broader review of where water valuation sits within BHP's decision-making processes and will support the integration of future valuation methods. In FY2021,we completed a case study with the ICMM to help inform improvementsand increase consistency of water disclosures in the mining sector and to inform an update of the ICMM water reporting guidance."
Collective action Collaborate with stakeholders to improve regional water policy and catchment governance and address shared water challenges within our communities and across our value chain.,"In FY2O21,we assessed alignment of our water sensitivity and water related risk disclosures with current widely used frameworks, (which have matured in the last two to three years).We decided to align our disclosure of basin risk with the WWF Water Risk Filter6 and have updated our disclosures accordingly. This allows for more direct comparison with other organisations."
Collective action Collaborate with stakeholders to improve regional water policy and catchment governance and address shared water challenges within our communities and across our value chain.,Collective action activities in FY2O21 included: -completed a thought leadership paper with Pollination consultants to use the lessons from
Collective action Collaborate with stakeholders to improve regional water policy and catchment governance and address shared water challenges within our communities and across our value chain.,"climate change (such as the importance to unify around a common goal,and agreement on the science) to bring about change in Water Stewardship continued to fund and contribute to the development of the Water Resilience Accounting Framework (designed to provide a common way to describe water stresses in a catchment)"
Collective action Collaborate with stakeholders to improve regional water policy and catchment governance and address shared water challenges within our communities and across our value chain.,by the CEO Water Mandate and other technical civil society partners.We believe this isa key foundation for effective multi-stakeholder conversations on water -started a study with the University of Notre Dame on the inherent rights of people to access
Collective action Collaborate with stakeholders to improve regional water policy and catchment governance and address shared water challenges within our communities and across our value chain.,"water and preserve its cultural values BHP co-funds with Rio Tinto the groundwater modelling decision support initiative (GMDSl). The GMDSl is managed by the Groundwater Research and Training (NCGRT)at Flinders University,"
"public disclosure,weaim to build validity for the approach,support others to set effective targets and ultimately help improve management of shared water resources.This work is in line with our","South Australia,on our behalf and it promotes and supports the improved use of models in groundwater management, regulation and decision-making. We continued a program of Water Resource Situational Analyses (WRSA) in FY2O21 to inform our post-FY2O22 operated asset context-based water targets (CBWT). Each WRSA willidentify the shared water challenges in the region through stakeholder consultation and review of public information bya trusted third party (for example,a university). Once finalised,the WRSA reports willbe publicly available to support continued collaboration between stakeholders.The CBWTs will address one or more of the shared challenges in the region, through BHP's own internal action targets (completed by BHP alone) in conjunction with the colective action targets (completed with one or more external partners). We willpublish the approach to setting CBWTs in FY2022. We will share itat public forums,and presented it at World Water Week in August 2O21.Through this"
