,US$M,
Underlying EBITDA for year ended 30 June 2020,"22,071",
Net price impact:,Net price impact:,Net price impact:
Change in sales prices,"16,965","Higheraveragerealisedpricesforironore,opper,nckel,oil,naturalgasandthermalcoal,partiallyoffsetbylower average realised prices for metallurgical coal and LNG."
Price-linked costs,(870),Increasedroyalties reflecthigherrealised prices forironoreand higherthirdpartyconcentratepurchasecosts reflect
,"16,095","higher nickel prices,partially offset by lower royalties for petroleumand metallurgical coal."
Change in volumes (312),Change in volumes (312),Change in volumes (312)
,,"RecordvolumesatWAlOwithstrongperformanceacross thesupplychain,wereofsetbynaturalfielddeclineatPetroleum. Theexpectedlower gradesat Escondidaand Spence more thanoffset Escondida concentrator throughput maintained at record levels,the new stream of concentrate production from the Spence Growth Option that came online in December 2O2O and highest annual copper production achievedat Olympic Dam since our acquisition in 2005. Lowervolumes duetoadverse weather impacts intheGulf of Mexico(Petroleum)and NSWEC,combined withdragline maintenanceandhigherstripratiosatBMC.This was partiallyofsetbytheacquisitionof theadditional28per cent working interestatShenziand increasedvolumesat NickelWestfolowing resource transitionand major quadrennial maintenance shutdowns in the prior period."
Change in controllable cash costs:,Change in controllable cash costs:,Change in controllable cash costs:
Operating cash costs,,"(34)Higherinventory drawdownsat Olympic Dam dueto stronger millandsmelterperformanceandat Nickel West as volumes increased folowing planned maintenanceshutdowns in the priorperiodandaditionalcostsassociated with theramp-upof South Flank.This was largely ofset by strong cost performance supported by cost reduction initiativesacrossour assets,lower technologycostsanda gainfromthe optimised outcomefrom renegotiation"
Exploration and business development,109,of cancelled power contracts at Escondida and Spence. Lower exploration expenses due to lower seismic activityin Petroleum.
75,75,75
Change in other costs:,,
Exchange rates,,"(1,588) Impact ofthe strongerAustraliandollrandChilean pesoagainst the US dollar"
Inflation,(286),Impact of inflation on the Group's cost base.
Fueland energy,223,Predominantly lower diesel prices at our minerals assets.
Non-Cash,282,Lower deferred stripping depletion at Escondida in line with planned development phase of the mines.
One-off items,(122),"Volumelossacross our operations due to COvID-19 restrictions,predominantlyatourcopperoperations inChile."
,"(1,491)",
Asset sales,Asset sales,Asset sales
Ceased and sold operations,17 242,Reflectsthe divestmentof Neptuneandadecreasein costs related tothe closureand rehabilitation provision for
Other items,,closed mines of US$311 million compared with the prior year.
Underlying EBITDA for year ended 30 June 2021,"682 37,379",Other includes higher average realised sales prices received by Antamina.
