Inferred Resources,Total Resources,BHP interest
3.0,141,57.5
23,152,"0.78,0.60,0.45,0.49,0.53,0.55,0.57,100"
10400,19400,"0.59,0.63,0.41,0.44,0.53,0.55,0.59,100"
6.0,187,"0.63,0.63,0.59,0.44,0.41,0.44,0.52,100"
20,155,"0.66,0.61,0.10,0.11,0.66,0.61,0.52,100"
26,212,"0.43,0.43,0.43,0.44,0.43,0.44,0.41,100"
1610,1610,"0.37,0.37,0.37,0.40,0.37,0.37,0.37,100"
29,29,"0.66,0.66,0.26,0.12,0.58,0.40,0.26,100"
0.7,111,"0.58,0.40,0.26,0.10,0.58,0.40,0.18,100"
0.2,21,"0.64,0.43,0.18,0.10,0.59,0.43,0.18,100"
981,2390,"0.39,0.43,0.09,120,0.37,0.43,0.39,100"
6000,7440,"0.43,0.45,0.04,0.05,0.43,0.45,0.43,57.5"
15,188,"0.54,0.57,0.54,0.57,0.54,0.57,0.54,57.5"
37,60,"0.45,0.47,0.47,0.47,0.45,0.47,0.47,57.5"
84,223,"0.60,0.54,0.60,0.54,0.60,0.54,0.60,57.5"
3170,10100,"0.60,0.62,0.20,0.21,0.24,0.28,1,100"
80,1070,"1.58,1.67,0.43,0.49,0.65,0.64,3,100"
621,1250,"0.82,0.83,0.14,0.13,8,0.28,200,33.75"
240,554,"1.03,0.96,1.50,1.67,15,0.63,60,0.63"
242,242,"1.31,1.31,0.22,0.22,12,0.22,110,0.22"
168,168,"1.20,1.20,1.41,1.41,17,0.22,50,0.22"
10070,10070,"0.62,0.62,0.21,0.21,0.27,0.28,1,100"
1041,1041,"1.68,1.68,0.47,0.47,0.63,0.63,3,100"
1230,1230,"0.82,0.82,0.13,0.13,8,0.28,280,33.75"
563,563,"0.94,0.94,1.73,1.73,16,0.63,90,0.63"
301,301,"1.31,1.31,0.22,0.22,11,0.22,210,0.22"
171,171,"1.28,1.28,1.54,1.54,17,0.22,80,0.22"
