Loss before taxation,2021 US$M,2020 US$M,2019 US$M
Adjustments for:,,,
Samarco impairment expense,111,95,96
Samarco Germano dam decommissioning,15,(46),263
Samarco dam failure provision,"1,000",459,586
Fair value change on forward exchange derivatives,(136),,
Net finance costs,85,93,108
Changes in assets and liabilities:,,,
Trade and other payables,5,5,(4)
Net operating cash flows,(7),430,(11)
Net investment and funding of equity accounted investments,(470),(464),(424)
Net investing cash flows,(470),(464),(424)
Net decrease in cash and cash equivalents,(477),(34),(435)
