Australia,United States(7),Other(8),Total
Oil and gas revenue(1),2272,1244,"368,3884"
Production costs,(487),(267),"(93),(847)"
Exploration expenses,(23),(164),"(305),(492)"
Depreciation, depletion, amortisation and valuation provision(2),"1210,489,(113),1812"
Production taxes(3),125,,"11,136"
Accretion expense(4),89,22,"7,118"
Income taxes,46,78,"115,239"
Royalty-related taxes(5),11,,",11"
Results of oil and gas producing activities(6),303,224,"(276),251"
Oil and gas revenue(1),2535,1101,"350,3986"
Production costs,575,161,"80,816"
Exploration expenses,37,271,"252,560"
Depreciation, depletion, amortisation and valuation provision(2),"906,476,75,1457"
Production taxes(3),177,1,"13,191"
Accretion expense(4),78,24,"10,112"
Income taxes,275,35,"157,467"
Royalty-related taxes(5),85,,",85"
Results of oil and gas producing activities(6),402,133,"(237),298"
Oil and gas revenue(1),3404,2675,"610,6689"
Production costs,752,568,"118,1438"
Exploration expenses,44,162,"229,435"
Depreciation, depletion, amortisation and valuation provision(2),"917,621,103,1641"
Production taxes(3),198,,223
Accretion expense(4),80,34,"13,127"
Income taxes,530,193,"267,990"
Royalty-related taxes(5),164,,",164"
Results of oil and gas producing activities(6),719,1097,"(145),1671"
