,,Year ended 30 June,Year ended 30 June,Year ended 30 June
,,2021,2020,2019
Petroleum,,,,
,Consumption offuel,13,11,15
,Consumption of electricity,0.0,0.1,0.1
,Total operationalenergy consumption,13,11,15
Copper,Consumption of fuel,20,21,21
Copper,Consumption of electricity,27,26,25
Copper,Total operational energy consumption,47,47,45
Iron Ore,Consumption of fuel,34,,
Iron Ore,Consumption of electricity,,33,31
Iron Ore,Total operationalenergy consumption,1,1,1
Iron Ore,,35,35,33
Coal,Consumption of fuel,43,41,39
Coal,Consumption of electricity,5,5,5
Coal,Total operationalenergy consumption,48,46,
Coal,,,,45
Nickel,Consumption of fuel,8,8,8
Nickel,Consumption of electricity,3,3,3
Nickel,Total operationalenergy consumption,12,11,
Nickel,,,,11
Total(16),Consumption of fuel,117,114,114
Total(16),Consumption of electricity,37,36,35
Total(16),Total operational energy consumption,154,150,149
Total(16),,,,
