"Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal",,,,,
Approximately Public road,Approximately Public road,Approximately Public road,Approximately Public road,BHP100% BHP,BHP100% BHP,Current,Production Open-cut NSW electricity Beneficiation,Production Open-cut NSW electricity Beneficiation,,,,,
126 km northwestExportcoal,126 km northwestExportcoal,126 km northwestExportcoal,126 km northwestExportcoal,,,Development,commenced in Produces a,grid connectionfacilities: coal,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,Consent expires,2002 medium rank,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",third-party rail to,third-party rail to,third-party rail to,,,"in 2026, Mt Arthur",Government bituminous,"long-term preparation,"
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",Newcastle port,Newcastle port,Newcastle port,,,Coal Mine (MAC),thermal coal contractapproval permits washing plants,thermal coal contractapproval permits washing plants
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",commenced,extraction of up and energy Nominal capacity:,extraction of up and energy Nominal capacity:,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",the first formal,,,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,,to 36 Mtpa of run purchased via aRetail Agreement23Mtpain excess ofof mine coal from,to 36 Mtpa of run purchased via aRetail Agreement23Mtpain excess ofof mine coal from,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,step to obtain,to 36 Mtpa of run purchased via aRetail Agreement23Mtpain excess ofof mine coal from,to 36 Mtpa of run purchased via aRetail Agreement23Mtpain excess ofof mine coal from,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,new State and,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,Commonwealth,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,Commonwealth,undergroundand open-cut,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",approvals to,"operations,with",,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",continue open-cut,open-cut extraction,,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,mining at MAC,,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,,,limited to 32Mtpa,,,
