,Interest bearing liabilities,Interest bearing liabilities,Interest bearing liabilities,Interest bearing liabilities,Interest bearing liabilities,Derivatives iate,
2020 US$M,Bank loans,Notes and debentures,Lease liabilties,Bank overdraft and short-term borrowings,Other,Cross currency and interest,
At thebeginning of thefinancial year,"2,498","21,529",715,20,66,rate swaps 204,Total
Proceeds from interest bearing liabilities,514,1,-,1,-,-,514
Settlements of debt related instruments,1,1,1,,1,（157),(157)
Repayment ofinterest bearing liabilities,(522),(859),(671),,5,1,(2.047)
Change from Net financing cashflows,（8),(859),(671),,5,(157),(1.690)
Other movements:,,,,,,,
Interest rate impacts,=,720,1,,1,（788）,
Foreign exchange impacts,,(354),(43）,,(4),316,
Leases recognised on IFRS 16 transition,1,1,2.301,二,1,-,
Lease additions,,1,436,1,1,-,
Remeasurement ofindex-linked freight contracts,1,1,733,1,1,-,
Other interest bearing liabilities/derivative related changes,2,9,(28),(20),1,（8）,
At the end of the financial year,"2,492","21,045","3,443",1,68,(433),
