4.Our Scope of the Audit of BHP,4.Our Scope of the Audit of BHP
What we mean,"Wearerequired toestablishanoverallaudit strategythatsets the scope,timingand directionofouraudit,and that guidesthedevelopmentofouraudit plan.Audit scopecomprises theoperatedandnon-operatedassets,activitiesand processes tobeauditedthat,inaggregate,providesufficientcoverageof thefinancialstatementsforustoexpressan audit opinion."
Criteria for determining our audit scope,"Ourassessment ofaudit riskand our evaluationof materialitydeterminedour audit scope foreach location within BHPwhich,when taken together,enabledus toformanopiniononthefinancial statementsunder AustralianAuditing Standardsand ISAs (UK). Ouraudit effortwas focused towards higherriskareas,suchas management judgementsand estimates,andonassetsand groupfunctions that weconsidered significant based upon size,complexity or risk."
Criteria for determining our audit scope,"Thefactors that we considered whenassessing thescopeoftheaudit,and the levelofworktobeperformedat each asset or group function that were in scope for Group reporting purposes,included the following: thefinancialsignificance toBHP'searnings,totalassetsortotalliabilities,includingconsiderationof thefinancial"
Criteria for determining our audit scope,"significance of specific account balances or transactions; -thesignificanceof specificrisks relating toanasset or groupfunction:historyof unusualorcomplextransactions, identificationof significantaudit issues or thepotentialfor,ora historyof, material misstatements;and"
Full and specific scopes,"-the effectiveness of the control environment and monitoring activities,including entity-level controls. Ofthe36(2O20:36)assetsandgroupfunctions (locations),weselected9(2O20:10)locations basedontheirsizeorrisk characteristicsandperformedfullscopeauditsof thecompletefinancialinformationat4(2O2O:4)locations.Oftheful scope locations,3(2O2O:3)arethemostsignificantassetswithinthelronOre,CopperandCoalsegments.Theadditional full scope locationis the Group TreasuryFunction.Fortheother5(2O2O:6)locations weperformed specific scopeaudit procedures on individualaccount balances within thelocation basedontheirsizeand risk profiles.Theaudit scope of"
Specified and Group procedures,"thesecomponents maynothaveincluded testingofallsignificantaccountsof thecomponentbut willhavecontributed to the coverage of significant accounts tested for the Group. Specified Inadditionto the9fulland specific scopelocationsabove,weselected15(2O2O:10) locations toperform procedures"
Specified and Group procedures,"specifiedbythegroupaudit team inresponse tospecificriskfactorsandinorder toensurethat,attheoverallGrouplevel, we reduced and appropriately covered the residual risk of error."
Specified and Group procedures,"Centralised group functions Forfulland specificscope locations,as wellasspecified procedures locations,we haveperformed procedures over certainaccounts by testing group functions which havecentralised processes for revenueand accounts receivables, purchase topay,treasurypropertyplantandequipment,employee benefits,rightofuseassetsandleaseliabilities and the elimination of intercompany balances."
Specified and Group procedures,"Group wide procedures Weperformedcentralised procedures across the entire Group,including IT generalandITapplication controls over the1SAPIT systemand audit ofmanualand consolidationjournal entries.Aswellascentralised revenueandaccounts receivable testing using data analytics techniques over the Group's amounts."
Specified and Group procedures,"Fortheremaining 12(2O2O:16)Other Procedures locations we performed supplementaryaudit procedures in relation to BHP'scentralised groupaccountingandreportingprocessesincluding,butnotlimitedto,thecompletenessoflitigation and other claims.We also performed disaggregated analytical reviews on each financial statementline item."
Analysis of our audit coverage,Thelocations within the scope of our work accounted for the following percentages of the Group's measures:
