Year ended 30 June,,20202019
Year ended 30 June,2021,2020 209RestatedRestated
Interestbearing liabilities - Current,"2,628","5,012 1,661"
Interestbearing liabilites-Non-current,"18,355",22.036 23.167
Total interest bearing liabilities,"20,983","27,048 24.828"
Comprising:,,
Borowing,17.087,"23,605 24,113"
Lease liabilties,"3,896",3.443 715
Less: Lease liability associated with index-linked freight contracts,"1,025",1.160 -
Less: Cash and cash equivalents,"15,246","13,426 15,613"
Less: Net debt management related instruments(),557,433 (204)
Less: Net cash management related instruments(2),34,(15) （27)
Less: Total derivatives included in net debt,591,418 (231)
Net debt,"4,121","12.044 9,446"
Net assets(3),"55,605","52.175 51,753"
Gearing,6.9%,18.8% 15.4%
