2020,US$M,Cash flow hedging reserve,Cost of hedging reserve,Total
At the beginning of the financial year,163,-106,40,
Add: Change in fair value of hedging instrument recognised in OCI,-315,-,221,
Less: Reclassified from reserves to financial expenses - recognised through OCI,223,74,208,
At the end of the financial year,71,-32,27,
Gross,Tax,Net,Gross,"Tax,Net"
163,-106,40,-,",-"
-315,-,221,-,",-"
223,74,208,-,",-"
71,-32,27,-,",-"
114,32,-74,51,"-23,51"
-221,-,-,-,"-,-"
157,-23,208,51,"-23,51"
50,9,-23,27,"-23,27"
