Notes,2021,20202019
Notes,US$M,
Profit after taxation from Continuing and Discontinued operations,"13,451","8.736 9,185"
Other comprehensive income,,
Items that may be reclassified subsequently to the income statement:,,
Hedges:,,
Gains/(losses)taken to equity,863,(315) (327)
(Gains)/losses transferred to the income statement,(837),297 299
Exchange fluctuations on translation of foreign operations taken to equity,5,1 1
Exchange fluctuations on translation of foreign operations transferred to income statement,-,- 6
Tax recognised within other comprehensive income 6,(8),5 8
Totalitems that may be reclassified subsequently to the income statement,23,(12) (25)
Items that willnot be reclassified to the income statement:,,
Re-measurement gains/(losses) on pension and medical schemes,58,(81) (20)
Equity investments held at fair value,(2),（2 1
Taxrecognised within other comprehensive income 6,(20),26 19
Totalitems that willnotbe reclassified to the income statement,36,(57) 1
Total other comprehensive income/(loss),59,(69） (25)
Total comprehensive income,"13,510","8.667 9,160"
Attributable tonon-controlling interests,"2,158",769 878
Attibutable to BHP shareholders,"11,352","7898 8,282"
