Commodity deposit,Ore type,Measured Resources,,%TCu,,%SCu_ppmMo,,g/tAu,,Indicated Resources,,%TCu,,%SCu_ppmMo,,g/tAu
Copper operations,Escondida,99,0.60,,,,,,,39,0.58,,,,,
Copper operations,Escondida,72,0.52,1,,,,,,57,0.47,1,,1,,
Copper operations,Escondida,5270,0.61,1,=,=,3690,0.51,1,1,1,,,,,
Copper operations,Cerro Colorado,71,0.61,0.43,,,,,,110,0.64,0.45,,,,
Copper operations,Cerro Colorado,48,0.60,0.11,1,,,,,87,0.61,0.12,1,1,,
Copper operations,Cerro Colorado,81,0.45,-,1,1,,,,105,0.42,1,1,1,,
Copper operations,Cerro Colorado,-,-,-,=,=,-,-,-,-,-,-,-,-,,
Copper operations,Spence,27,0.66,0.40,,,,,,1.6,0.66,0.43,,,,
Copper operations,Spence,0.6,0.26,0.12,,,,,,0.1,0.26,0.14,,,,
Copper operations,Spence,103,0.59,0.10,1,=,,,,8.1,0.41,0.09,1,1,,
Copper operations,Spence,20,0.64,-,100,1,,,,0.5,0.49,-,60,1,,
Copper operations,Spence,636,0.46,1,180,=,,,,773,0.45,,,130,1,
Copper projects,Pampa Escondida,294,0.53,,,,,,,1150,0.55,,,0.10,,
Copper projects,Pinta Verde,109,0.60,,,,,,,64,0.53,,,,,
Copper projects,Pinta Verde,-,-,-,-,-,-,-,-,-,-,-,-,23,0.50,
Copper projects,Chimborazo,-,-,-,-,-,-,-,-,-,-,-,-,139,0.50,
Copper uranium gold operation,Olympic Dam,3600,0.66,,,0.21,0.34,,,3330,0.60,,,0.20,0.25,
Copper uranium gold operation,Olympic Dam,510,1.73,,,0.50,0.68,,,480,1.62,,,0.48,0.59,
Copper zinc operation,Antamina,219,0.83,,,7,270,,,413,0.85,,,9,240,
Copper zinc operation,Antamina,92,0.81,,,16,70,,,222,0.95,,,17,70,
