,2021,2020,2019
Standardised measure at the beginning of the year,5058,,"9152,10240"
Revisions:,,,
"Prices, net of production costs",-175,-5633,3821
Changes in future development costs,-238,330,-228
Revisions of reserves quantity estimates,-107,-229,1268
Accretion of discount,678,1313,1178
Changes in production timing and other,360,-310,-618
Standardised measure at the end of the year,5576,4623,15661
"Sales of oil and gas, net of production costs",-2901,-2980,-5029
Acquisitions of reserves-in-place,462,-,
Sales of reserves-in-place,-44,,-1489
Previously estimated development costs incurred,1075,1005,545
"Extensions, discoveries and improved recoveries, net of future costs",17,145,-33
Changes in future income taxes,578,2265,-503
Standardised measure at the end of the year,4851,5058,9152
