,2021,2020,
,US$M,US$M,201
Changes in the Standardised measure,"5,058",9.152,"10,240"
Standardised measure at the beginning of the year,"5,058",,
Revisions:,,,3.821
"Prices, net of production costs",(175),"(5,633)",
Changes in future development costs,(238),330,(228)
Revisions of reserves quantityestimates(,(107),(229),1268
Accretion of discount,678,1313,1.178
Changes in production timing and other,360,(310),(618)
,"5,576","4,623","15,661"
"Sales of oiland gas, net of productioncosts","(2,901)",(2.980),(5.029)
Acquisitions of reserves-in-place,462,1,-
Sales of reserves-in-place(2),44,1,(1.489)
Previously estimated development costs incurred,"1,075","1,005",545
"Extensions, discoveries,and improved recoveries, net of future costs",17,145,(33)
Changes in future income taxes,578,"2,265",(503)
Standardised measure at the end of the year,"4,851","5,058","9,152"
