,Australia US$M,United States US$M,Other() US$M,Total US$M
Capitalised cost,,,,
2021,,,,
Unproved properties,,754,580,"1,334"
Proved properties,"17,882","13,210","1,972","33,064"
Total costs,"17,882","13,964","2,552","34,398"
"Less: Accumulated depreciation,depletion,amortisationand valuation provisions","(12,720)",(8.329),"(1,483)","(22,532)"
Net capitalised costs,"5,162","5,635","1,069","11,866"
2020,,,,
Unproved properties,10,808,576,1394
Proved properties,"17,079","12,538",1.743,"31,360"
Total costs,17.089,"13,346",2.319,32.754
"Less: Accumulated depreciation, depletion,amortisation and valuation provisions","(11,423)","(8,726)",(1.370),"(21,519)"
Net capitalised costs,"5,666",4.620,949,11.235
2019,,,,
Unproved properties,10,875,458,1343
Proved properties,"16,514","11,751",1.625,29.890
Total costs,"16,524",12.626,2.083,31.233
"Less: Accumulated depreciation,depletion,amortisationand valuation provisions",(10.867),(8.339),(1.302),"(20,508)"
Net capitalised costs,"5,657","4,287",781,"10,725"
