Board,Risk and Audit Committee,Nomination and Governance Committee,Remuneration Committee,Sustainability Committee
Terry Bowen,12/12,11/11,4/4(1),
Malcolm Broomhead,12/12,,6/6,
Xiaoqun Clever(2),8/8,7/7,,
Ian Cockerill,12/12,11/11,,
Anita Frew,12/12,11/11,6/6,
Gary Goldberg,12/12,,2/2(3),6/6
Mike Henry,12/12,,6/6,
Susan Kilsby,11/12(4),4/4(5),6/6(5),
Ken MacKenzie,12/12,6/6,,
Lindsay Maxsted(6),4/4,4/4,,
John Mogford,12/12,,4/4(7),5/5
Christine O'Reilly(8),8/8,7/7,2/2,3/3(5)
Shriti Vadera(9),4.5/4.5(9),,2/2,2/3(10)
Dion Weisler,12/12,,6/6,
