Year ended 30 June,2021 US$M,2020 US$M
Net debt at the beginning of the financial year,"(12,044) (9,446)","(12,044) (9,446)"
Net operating cash flows,"27,234","15,706"
Net investing cash flows,"-7,845","-7,616"
Free cash flow,"19,389",8.090
Carrying value of interest bearing liability repayments,"7,433","1,533"
Net settlements of interest bearing liabilities and debt related instruments,"-7,424","-1,984"
Dividends paid,"-7,901","-6,876"
Dividends paid to non-controlling interests,"-2,127","-1,043"
Other financing activities(-),-234,-143
Other cash movements,"-10,253",-8.513
Fair value adjustment on debt (including debt related instruments)(2),58,88
Foreign exchange impacts on cash (including cash management related instruments),-1,-26
IFRS 16 leases taken on at 1 July 2019,-,"-1,778"
Lease additions,"-1,079",-363
Others,-191,-96
Non-cash movements,"-1,213 (2.175)","-1,213 (2.175)"
Net debt at the end of the financial year,"-4,121 (12,044)","-4,121 (12,044)"
