Year ended 30 June,2021 US$M,2020 US$M,2019 US$M
Revenue,,,"1,1"
Other income,34,489,50
"Expenses excluding net finance costs, depreciation, amortisation and impairments",(592),"(1,025)",(57)
Depreciation and amortisation,,1,
Net impairments,"(2,371)",(409),-
"Loss from equity accounted investments, related impairments and expenses","(1,456)",(508),(945)
Profit/(loss) from operations,"(4,385)","(1,453)",(952)
Financial expenses,(85),(93),(108)
Financial income,,1,
Net finance costs,(85),(93),(108)
Profit/(loss) before taxation,"(4,470)","(1,546)","(1,060)"
Income tax (expense)/benefit,"(1,327)",241,242
Royalty-related taxation (net of income tax benefit),,-,
Total taxation (expense)/benefit,"(1,327)",241,242
Profit/(loss) after taxation from Continuing operations,"(5,797)","(1,305)",(818)
Discontinued operations,,,
Profit/(loss) after taxation from Discontinued operations,,-,-
Profit/(loss) after taxation from Continuing and Discontinued operations,"(5,797)","(1,305)",(818)
Total exceptional items attributable to non-controlling interests,(24),(201),
Total exceptional items attributable to BHP shareholders,"(5,773)","(1,104)",-
Exceptional items attributable to BHP shareholders per share (US cents),(114.2),(21.9),(15.8)
Weighted basic average number of shares (Million),"5,057","5,057","5,180"
