,,,,,,,,,,,As at 30 June 2020,As at 30 June 2020,As at 30 June 2020,As at 30 June 2020,As at 30 June 2020
,Inferred Resources,Inferred Resources,Inferred Resources,Inferred Resources,Inferred Resources,Total Resources,Total Resources,Total Resources,Total Resources,Total Resources,BHP interest,BHP interest,BHP interest,BHP interest,BHP interest
,Mt%Ash,%VM,,%S KCal/kg CV,Mt,%Ash,%VM,,%SKCal/kg CV,%,,Mt %Ash,%VM,,%S KCal/kg CV
,,,0.62,"6,050",3.380,20.3,30.0,0.62,"6,120",100,"3,402",20.3,30.0,0.62,"6,120"
,1.255,20.6 29.3,,,,,,,,,,,,,
,588,4.8 33.9,0.56,"6,360",4.771,4.0,34.8,0.52,"6,530",33.33,4.782,4.0,34.8,0.52,"6,539"
,201,16.1,,,,,,,,,,,,,
,,,,,,,29.0,,"6,510",,,,28.9,0.31,"6,420"
,,28.5,0.32,"6,270","1,620",,,0.31,,100,,,,,
,,,,,,14.0,,,,,1.947,14.8,,,
