Deposit,Ore type,Mineral Resources,Ore Reserves
Escondida,Oxide,≥ 0.20%SCu,≥0.20%SCu
Escondida,Mixed Sulphide,≥0.30%TCu ≥0.25%TCuor ≥0.30%TCu depending on processing,≥ 0.30%TCuand greater than variable cut-off (V_COG) of the
Escondida,,,concentrator.Sulphideoreisprocessed in theconcentrator plants as a result of an optimised mine plan with consideration of technical and economical parameters in order to maximise net present value.
Escondida,Sulphide Leach,,≥0.25%TCuandlowerthan V_COG and with >30%of copper carried by more leachable copper minerals.Sulphide Leach ore is processed by dump leaching asan alternative to the concentrator process.
Escondida,Cerro Colorado Oxide & Supergene Sulphide,≥0.30%TCu,≥ 0.30%TCu
Spence,Transitional Sulphide,≥0.20%TCu,≥0.30%TCu
Spence,Hypogene Sulphide,≥0.20%TCu,
Spence,Oxide,≥0.30%TCu,≥0.30%TCu
Spence,Low-grade Oxide,≥ 0.20%TCu,
Pampa Escondida,"Supergene Sulphide, Transitional Sulphide&",≥0.20%TCu,≥ 0.20%TCu
Pampa Escondida,Hypogene Sulphide Sulphide,≥ 0.30%TCu,
Pinta Verde,Oxide & Sulphide,≥0.30%TCu,
Chimborazo,Sulphide,≥ 0.30%TCu,
