Principalfactor,Method of calculation
Change in sales prices,"Change in average realised price for each operation from the prior period to the current period,"
Price-linked costs,multiplied by current period sales volumes. Change in price-linked costs (mainly royalties)for each operation from the prior period to the current
Change in volumes,"period, multiplied by current period sales volumes. Change in sales volumes for each operation multiplied by the prior year average realised price less"
Controllable cash costs,variable unit cost. Total of operating cash costs and exploration and business development costs.
Operating cash costs,"Change in total costs,other than price-linked costs,exchange rates,inflation oncosts,fuel and"
Exploration and business development,"energy costs, non-cash costs and one-offitems as defined below for each operation from the prior period to the current period. Exploration and business development expense in the current period minus exploration and"
Exchange rates,business development expense in the prior period. Change in exchange rate multiplied by current period local currency revenue and expenses.
Inflation on costs,"Changein inflation rateapplied toexpenses,other than depreciationand amortisation, price-linked"
Fueland energy,"Costs,exploration and business development expenses, expenses in ceased and sold operations and expenses in new and acquired operations."
Non-cash,Fuel and energy expense in the current period minus fuel and energy expense in the prior period. Change in net impact of capitalisation and depletion of deferred stripping from the prior period
One-offitems,to the current period. Change in costs exceeding a pre-determined threshold associated with an unexpected event that
Asset sales,had not occurred in the last two yearsand is not reasonablylikely to occur within the next two years. Profit/(loss) on the sale of assets or operations in the curent period minus profit/(loss)on sale
Ceased and sold operations,of assets or operations in the prior period. Underlying EBITDA foroperations that ceased or were sold in the currnt period minus Underlying
Share of profit/(loss) from equity,EBITDA for operations that ceased or were sold in the prior period. Share of profit/(lossfrom equity accounted investments for the current period minus share of
accounted investments Other,profit/(loss) from equity accounted investments in the prior period. Variances not explained by the above factors.
