,2021,2020
At the beginning of the financial year,2.051,1.914
Movement in provisions,741,137
Comprising:,,
Utilised,(359),(369)
Adjustments charged to the income statement:,,
Change in estimate - Samarco dam failure provision,842,916
Change in estimate - Samarco Germano dam decommissioning,(6),37
Amortisation of discounting impacting net finance costs,85,93
Exchange translation,179,(540)
At the end of the financial year,"2,792",2.051
Comprising:,,
Current,"1,206",896
Non-current,"1,586",115
At the end of the financial year,"2,792",2.051
Comprising:,,
Samarco dam failure provision,"2,560",1.824
Samarco Germano dam decommissioning provision,232,227
