Commodity deposit,Ore type,Measured Resources,Indicated Resources
Copper operations,Escondida,Oxide,"99,0.60,39,0.58"
Copper operations,Escondida,Mixed,"72,0.52,57,0.47"
Copper operations,Escondida,Sulphide,"5270,0.61,3690,0.51"
Copper operations,Cerro Colorado,Oxide,"71,0.61,110,0.64"
Copper operations,Cerro Colorado,Supergene Sulphide,"48,0.60,87,0.61"
Copper operations,Cerro Colorado,Transitional Sulphide,"81,0.45,105,0.42"
Copper operations,Cerro Colorado,Hypogene Sulphide,",-,-,-,-,-"
Copper operations,Spence,Oxide,"27,0.66,1.6,0.66"
Copper operations,Spence,Low-grade Oxide,"0.6,0.26,0.1,0.26"
Copper operations,Spence,Supergene Sulphide,"103,0.59,8.1,0.41"
Copper operations,Spence,Transitional Sulphide,"20,0.64,0.5,0.49"
Copper operations,Spence,Hypogene Sulphide,"636,0.46,773,0.45"
Copper projects,Pampa Escondida,Sulphide,"294,0.53,1150,0.55,0.10"
Copper projects,Pinta Verde,Oxide,"109,0.60,64,0.53"
Copper projects,Pinta Verde,Sulphide,",-,-,23,0.50"
Copper projects,Chimborazo,Sulphide,",-,-,139,0.50"
Copper uranium gold operation,Olympic Dam,OC Sulphide,"3600,0.66,3330,0.60,0.20,0.25,1"
Copper uranium gold operation,Olympic Dam,UG Sulphide,"510,1.73,480,1.62,0.48,0.59,3"
Copper zinc operation,Antamina,Sulphide Cu only,"219,0.83,413,0.85,0.13,9,270"
Copper zinc operation,Antamina,Sulphide Cu-Zn,"92,0.81,222,0.95,1.80,17,16,70"
