Skills and experience,Board
Total Directors,12
MiningSeniorexecutieatitanexpeceiteomperatiiuttrceulandledasuitegoblompleatingssstatddosistetstanvesffoaeareturnadthrougut;suefulydexloratioprojectswitprovsultsandpformae;deliveedgapitalprojctstatesuccessfulintermsofperformanceandretursandaproveecordintermsofhealthsafetyadenvironmentalperformaneadrsults.,4
"Oil and gasSeniorexecutivsethaperatialldsexperieitgeompaperatiiulontriceulledproductiopeatitteelidosstesaelsfomaceeurdougutulyledexploratioproectsitprovesultsadpformae;delideapialprctstateensefulintofpefereturns;and a proven record in terms of health,safety and environmental performance and results.",2
"Global experienceGlobalexperienceworkigutiplegegaesraexteedpriodoftimedindpundersadifdexprieceitoblmarkets,and the macro-political and economic environment.",10
StrategyExperienceineterpriseidstratedevelopmentandmplementatioinidustrisithoncclesanddevelopngadadngbsintransformation strategies.,11
RiskExperienceandepunderstaingofsystemicisandmonitorngismanagementframewrksandontrolsndtheabilitytodntifykeyemerging and existing risks to the organisation.,12
"Commodity value chain expertiseEnd-to-endueommodityhnexpercenderstadingofsumers,arketimaddriversncudigspeificgeogacrkets)and other aspects of commodity chain development.",8
Financial expertiseExtensiverelevntexpeincalulatidapabilittatecalatemetsddesadeficasebusinesrinepderstaingfrpateancentealfiacaltroexpreobgdeqacoflrisk controls.,12
"Relevant public policy expertiseExtensivexpeespeiilldxplitubicpatatesnnarttecommunityissues,social responsibility and transformation,and economic issues.",5
"Health, safety, environment and communityExtensive experience withcomplex workplacehealth,safety,environmentaland communityrisksandframeworks.",10
"TechnologyRecentexperienceandexpertiseithtedvelopment,selectionadimplementatioofladingandusinesstransfoingtecoloandinnovation,and responding to digital disruption.",5
Capital allocation and cost efficiencyExtensiditexpeeteiolialaesitterm performance.,11
