,Year ended 30 June,Year ended 30 June,Year ended 30 June
,2021,2020,2019
Operational energy consumption (PJ),,,
Consumption offuel,117,114,114
- Coal and coke,1,1,1
- Natural gas,23,21,24
- Distilate/gasoline,92,90,87
- Other,2,2,3
Consumption of electricity,37,36,35
Consumption of electricityfrom grid,33,32,31
Totaloperational energy consumption,154,150,149
Operational energy consumption from renewable sources(3),0.5,0.0,0.0
Operational energy intensity (gigajoules per tonne of copper equivalent production)(4),21,19,22
