Year ended 30 June,2021,2020 2019
Upstream,,
Purchased goods and services(including capital goods)(2),8.9,8.8 8.7
Fuel and energy related activities(3),1.1,1.2 1.2
Upstream transportation and distribution(4),3.8,3.8 3.6
Business travel(2),0.1,0.1 0.2
Employee commuting(2),0.4,0.2 0.2
Downstream,,
Downstream transportation and distribution(5),3.8,4.0 4.0
Investments (i.e.our non-operated assets)(6),2.5,2.6 3.1
Processing of sold products(7),,
GHG emissions from steelmaking(8),300.5,292.9 283.7
- Iron ore processing to crude steel,260.7,252.8 242.4
- Metallurgical coal processing to crude steel,39.8,40.1 41.3
Copper processing,5.0,5.2 5.1
Total processing of sold products,305.5,298.1 288.8
Use of sold products,,
Energy coal9),38.3,56.4 67.0
Natural gas(9),19.5,20.6 28.3
Crude oil and condensates(9),16.8,17.9 23.3
Natural gas liquids(9),1.8,1.9 2.8
Total use of sold products,76.4,96.8 121.4
Total Scope 3 GHG emissions(10),402.5,415.7 431.1
