,Associates,Associates,Associates,Joint ventures,Joint ventures,
202,,,Individually,Samarco(2),Individually,
,Antamina,Cerrejon,immaterial,,immaterial,Total
Current assets,974,712,,49③,,
Non-current assets,4.743,"2,462",,3.601,,
Current liabilities,(239),（170),,(7.961)(4),,
Non-current liabilities,（(1.173),(854),,(5.447),,
Net assets/(libilities)-100%,"4,305",2.150,,(9.758),,
Net assets/(liablities)- Group share,1.453,717,,(4.879),,
Adjustments to net assets related to accounting policy adjustments,1,59,,2565,,
Investment in Samarco,1,1,,405(6）,,
Impairment of the carrying value of the investment in Samarco,,1,,(930)m,,
Additional share of Samarco losses,1,1,,3.3418,,
Unrecognised losses,1,1,,1.80709,,
Carrying amount of investments accounted forusing the equity method,"1,453",776,356,-,,2.585
Revenue -100%,"2,464",1091,,26,,
Profit/(loss)from Continuing operations-100%,629,(182),,(3.617)10),,
Shareof profit/(loss) of equity accounted investments,212,(68),,(1.918),,
Impairment of the carrying valueof the investment in Samarco,1,1,,(95)m,,
Additional share of Samarco losses Unrecognised losses,=,1,,93 1.4129,,
"Profit/(loss) from equityaccounted investments, related impairments",,,,,,
and expenses,212,(68),(148),(508),,(512)
Comprehensive income/(loss)-100% Share of comprehensive income/(loss)- Group share in equity,629,(182),,"(3,617)",,
accounted investments,212,(68),(148),(508),,(512)
Dividends received from equity accounted investments,105,9,12,1,,126
