Year ended 30 June,US$M,2021,2020
Consolidated Income Statement (section 3.1.1),Revenue,60817,42931
Profit after taxation from Continuing and Discontinued operations attributable to BHP shareholders (Attributable profit),11304,7956,
Dividends per ordinary share - paid during the period (US cents),156.0,143.0,
Dividends per ordinary share - determined in respect of the period (US cents),301.0,120.0,
Basic earnings per ordinary share (US cents),223.5,157.3,
Consolidated Balance Sheet (section 3.1.3)(i),Total assets,108927,105733
Net assets,55605,52175,
Consolidated Cash Flow Statement (section 3.1.4),Net operating cash flows,27234,15706
Capital and exploration expenditure,7120,7640,
Other financial information (section 4.2),Net debt,4121,12044
Underlying attributable profit,17077,9060,
Underlying EBITDA,37379,22071,
Underlying basic earnings per share (US cents),337.7,179.2,
Underlying Return on Capital Employed (per cent),32.5,16.9,
