Location,Operated asset,Commodity,IUCN listed species,IUCN listed species,IUCN listed species,IUCN listed species,IUCN listed species,National listed species,National listed species,National listed species
,,,Critically endangered Endangered Vulnerablethreatened,,,Near,Least concern,Critically,endangered EndangeredVulnerable,
Australia,,,,,,,,,,
West Australia,WAIO,Iron ore,3,7,9,13,487,4,7,8
West Australia,Nickel West,Nickel,0,6,9,16,390,0,3,1
West Australia,Beenup (closed site),Titanium,1,4,4,14,283,4,12,8
South Australia,Olympic Dam,"Copper uranium, gold,silver",1,11,13,26,550,6,10,15
"West Australia, Victoria",Australian Production Unit,Oiland gas,19,70,185,181,3.149,7,23,59
Queensland,BMC,Coal,0,3,7,20,607,3,7,15
Queensland,BMA,Coal,8,29,146,174,"2,419",5,20,36
New South Wales,NSWEC,Coal,4,4,22,27,653,6,8,24
Canada,,,,,,,,,,
"Saskatchewan British Columbia,",Jansen,Potash,0,1,7,8,327,0,2,7
"Nova Scotia Ontario, Quebec",Legacy assets,Various,6,12,33,47,870,0,5,26
United States,,,,,,,,,,
"Arizona, California, NewMexico,Utah",Legacy assets,Various,5,18,29,26,1132,0,8,8
Gulf of Mexico,Gulf of Mexico Production Unit,Oiland gas,13,23,52,48,"1,853",0,8,13
Central America,,,,,,,,,,
Trinidad and Tobago,Trinidad Production Unit,Oil and gas,28,43,72,48,"2,216",1,1,4
Mexico,Trion,Oil and gas,4,14,11,6,487,0,14,0
Chile,,,,,,,,,,
Antofagasta,Escondida,Copper,3,17,26,31,488,8,9,28
Antofagasta,Pampa Norte,Copper,4,21,25,31,502,7,12,31
,,,Within operational site area,Within operational site area,Within operational site area,Within operational site area,Outside operational site area,Outside operational site area,Outside operational site area,Outside operational site area
Location,Operated asset Commodity,,Area protected (km2),Area restored (km2),External approval,Status,Area protected (km2）,Area restored (km2),External partner,Status
Australia,,,,,,,,,,
West Australia,WAIO,Iron ore,47.04,0.04,,NoComplete,0,0,NA,NA
West Australia,Nickel West,Nickel,3.81,0,,NA In progress,76.73,0,,No Inprogress
West Australia,Beenup (closed site),Titanium,3.65,3.35,Yes,Complete,0,0,NA,NA
South Australia,Olympic Dam,"Copper, gd",0,0,NA,NA,489.85,0,,No In progress
"West Australia, Victoria",Australian,Oiland gas,0,0,NA,NA,0,0,NA,NA
Queensland,Production Unit BMC,,3.41,0,NA,Complete,9.16,0,No,Complete
Queensland,BMA,Coal Coal,0,0,NA,NA,21.68,0,No,Complete
New South Wales,NSWEC,Coal,6.5,0,NA,Complete,19.49,0,No,Complete
Canada,,,,,,,,,,
Saskatchewan,Jansen,Potash,0,0.65,Yes,Complete,0,0,NA,NA
"British Columbia, Nova",Legacy assets,Various,0,0,NA,NA,0,0,NA,NA
"Scotia,Ontario,Quebec United States",,,,,,,,,,
"Arizona, California, New",Legacy assets,Various,0,0,NA,NA,0.07,0,,YesComplete
"Mexico, Utah Gulf of Mexico",Gulf of Mexico,Oil and gas,0,0,NA,NA,0,0,NA,NA
Central America,Production Unit,,,,,,,,,
Trinidad and Tobago,Trinidad,Oil and gas,0,0,NA,NA,0,0,NA,NA
Mexico,Production Unit,Oil and gas,,0,,,,0,,NA
Chile,Trion,,0,,NA,NA,0,,NA,
Antofagasta,Escondida,Copper,0,0,NA,NA,0,0,NA,NA
Antofagasta,Pampa Norte,Copper,0,0,NA,NA,0,0,NA,NA
