Period,A,B,C,,D
1 Jul 2020 to 31 Jul 2020,-,-,-,,"211,207,180(3)"
1 Aug 2020 to 31 Aug 2020,"6,158,718",28.32,-,,"211,207,180(3)"
1 Sep 2020 to 30 Sep 2020,-,-,-,,"211,207,180(3)"
1 Oct 2020 to 31 Oct 2020,-,-,-,,"211,207,180(3)"
1 Nov 2020 to 30 Nov 2020,-,-,-,,"211,207,180(3)"
1 Dec 2020 to 31 Dec 2020,-,-,-,,"211,207,180(3)"
1 Jan 2021 to 31 Jan 2021,-,-,-,,"211,207,180(3)"
1 Feb 2021 to 28 Feb 2021,-,-,-,,"211,207,180(3)"
1 Mar 2021 to 31 Mar 2021,"882,454",36.57,-,,"211,207,180(3)"
1 Apr 2021 to 30 Apr 2021,-,-,-,,"211,207,180(3)"
1 May 2021 to 31 May 2021,-,-,-,,"211,207,180(3)"
1 Jun 2021 to 30 Jun 2021,"731,235",38.00,-,,"211,207,180(3)"
Total,"7,772,407",30.16,-,,"211,207,180(3)"
