Year ended 30 June 2021,"Revenue(""US$M"")",Underlying EBITDA,D&A,Underlying EBIT,Net operating assets,Capital expenditure,"Exploration gross(""US$M"")","Exploration to profit(""US$M"")"
"Australia Production Unit(""US$M"")",327,202,186,16,64,23,,
Bass Strait,1066,798,775,23,1136,70,,
North West Shelf,893,761,239,522,1281,104,,
Atlantis,560,401,162,239,1109,178,,
Shenzi,417,309,175,134,970,113,,
Mad Dog,231,174,54,120,1885,308,,
Trinidad/Tobago,204,80,44,36,433,152,,
Algeria,164,135,-,135,107,2,,
Exploration,-,296,122,418,1148,,-,-
"Other(""US$M"")",85,262,113,375,-169,44,,
Total Petroleum from Group production,3947,2302,1870,432,7964,994,322,382
Third-party products,11,1,-,1,,,,
Total Petroleum,3958,2303,1870,433,7964,994,322,382
"Adjustment for equity accounted investments(""US$M"")",-12,-3,-3,-,-,-,,
Total Petroleum statutory result,3946,2300,1867,433,7964,994,322,382
