IFRS13 Fair value hierarchy Level(IFRS 9 Classification),2021 US$M,2020 US$M Restated
Current cross currency and interest rate swaps(2),20,3
Current other derivative contracts(3),207,45
Current other investments(4),3,36
Non-current cross currency and interest rate swaps(2),1123,2009
Non-current other derivative contracts(3),152,159
Non-current investment in shares,31,32
Non-current other investments(4)(5),304,322
Total other financial assets,1840,2606
Cash and cash equivalents,15246,13426
Trade and other receivables(6),2363,1633
Provisionally priced trade receivables,3547,1480
Loans to equity accounted investments,40,40
Total financial assets,22996,19185
Non-financial assets,85931,86548
Total assets,108927,105733
Current cross currency and interest rate swaps(2),2,"Fair value through profit or loss,165"
Current other derivative contracts(3),2,"3,Fair value through profit or loss,52,60"
Current other financial liabilities(7),78,"Amortised cost,-"
Non-current cross currency and interest rate swaps(2),2,"Fair value through profit or loss,586,1414"
Non-current other financial liabilities(7),560,"Amortised cost,-"
Total other financial liabilities,1276,1639
Trade and other payables(8),6277,5354
Provisionally priced trade payables,574,269
Bank loans(9),2260,2492
Notes and debentures(9),14769,21045
Lease liabilities,3896,3443
Other(9),58,68
Total financial liabilities,29110,34310
Non-financial liabilities,24212,19248
Total liabilities,53322,53558
