Year ended 30 June2021 2020 2019,Year ended 30 June2021 2020 2019,Year ended 30 June2021 2020 2019,,
Year ended 30 June2021 2020 2019,Year ended 30 June2021 2020 2019,Year ended 30 June2021 2020 2019,2021,2020 2019
Operational GHG emissions (MtCO2-e),,,,
Scope1GHG emissions(7),10.0,9.6 9.7,,
Scope 2 GHG emissions(8),6.2,6.3 6.2,,
Total operational GHG emissions,16.2,15.9 15.9,,
Total operational GHG emissions (adjusted for Discontinued operations),16.2,15.9 15.5,,
Operational GHG emissions intensity (tonnes CO2-e per tonne of copper equivalent production)(4),2.2,2.0 2.4,,
Percentage of Scope1GHG emissions covered under an emissions-limiting regulation(9),81%,80% 75%,,
Percentage of Scope 1GHG emissions from methane,21%,19% 19%,,
Scope 2 GHG emissions (location based)(8),5.0,5.1 5.1,,
Carbonoffsets retredl),0.3,,,
Total operational GHG emissions (including carbon offsets)12),15.9,,,
