Year ended 30 June,2021 US$M,2020 US$M
Net debt at the beginning of the period,-12044,-9446
Net operating cash flows,27234,15706
Net investing cash flows,-7845,-7616
Net financing cash flows,-17922,-9752
Net increase/(decrease) in cash and cash equivalents from Continuing and Discontinued operations,1467,-1662
Carrying value of interest bearing liability repayments,7433,1533
Carrying value of debt related instruments (proceeds)/settlements,-167,157
Carrying value of cash management related instruments settlements/(proceeds),403,-451
Fair value adjustment on debt (including debt related instruments),58,88
Foreign exchange impacts on cash (including cash management related instruments),-1,-26
IFRS 16 leases taken on at 1 July 2019,-,-1778
Lease additions,-1079,-363
Other,-191,-96
Non-cash movements,-1213,-2175
Net debt at the end of the period,-4121,-12044
