Yearended 30 JuneUS$M,2021,2020
Consolidated Income Statement (section 3.1.1),,
Revenue,"60,817",42.931
Profit after taxation from Continuing and Discontinued operationsattributable to BHP shareholders (Attributable profit),"11,304",7956
Dividends per ordinary share- paid during the period (US cents),156.0,143.0
Dividends per ordinary share-determined in respect of the period (US cents),301.0,120.0
Basic earnings per ordinary share (US cents),223.5,157.3
Consolidated Balance Sheet (section 3.1.3)(l),,
Total assets,"108,927","105,733"
Net assets,"55,605","52,175"
Consolidated Cash Flow Statement (section 3.1.4),,
Net operating cash flows,"27,234","15,706"
Capital and exploration expenditure,"7,120","7,640"
Other financial information (section 4.2),,
Net debt,"4,121",12.044
Underlying attributable profit,"17,077","9,060"
Underlying EBITDA,"37,379",22.071
Underlying basic earnings per share (US cents),337.7,179.2
Underlying Return on Capital Employed (per cent),32.5,16.9
