US$M,2021 Current,2021 Non-current,2020 Restated Current,2020 Restated Non-current
Interest bearing liabilities,,-,,"-,"
Bank loans,437,1823,737,1755
Notes and debentures,1244,13525,3354,17691
Lease liabilities,889,3007,853,2590
Bank overdraft and short-term borrowings,,-,-,-
Other,58,,-,68
Total interest bearing liabilities,2628,18355,5012,22036
Less: Lease liability associated with index-linked freight contracts,346,679,379,781
Less: Cash and cash equivalents,,-,,-
Cash,4408,,-,3493
Short-term deposits,10838,,-,9933
Less: Total cash and cash equivalents,15246,,-,13426
Less: Derivatives included in net debt,,-,,-
Net debt management related instruments(1),20,537,(162),595
Net cash management related instruments(2),34,,-,"(15),-"
Less: Total derivatives included in net debt,54,537,(177),595
Net debt,4121,12044,,-
Net assets(3),55605,52175,,-
Gearing,6.9%,18.8%,,-
