Levels of fees and travelallowances for Non-executive Directors (in US$),From 1July 2021
Base annual fee,"160,000"
Plus additional fees for:,
Senior Independent Director of BHP Group Plc,48.000
Committee Chair:,
Risk and Audit,60.000
Remuneration,45.000
Sustainability,"45,000"
Nomination and Governance,No additional fee
Committee membership:,
Risk and Audit,32.500
Remuneration,"27,500"
Sustainability,"27,500"
Nomination and Governance,18.000
Travel allowance:(1),
Greaterthan 3 but less than 10 hours,"7,000"
10 hours or more,"15,000"
Chair's fee,"880,000"
