Factors affecting income tax expense for the year,,,
Profit before taxation,24601,13510,15049
Tax on profit at Australian prima facie tax rate of 30 per cent,7380,4053,4515
Non-tax effected operating losses and capital gains(1),3112,707,742
Tax on remitted and unremitted foreign earnings,485,225,283
"Tax effect of loss from equity accounted investments, related impairments and expenses(2)",317,"154,164",
Investment and development allowance,-,99,94
Tax rate changes,-1,8,6
Amounts (over)/under provided in prior years,-11,64,-21
Recognition of previously unrecognised tax assets,-28,-30,-10
Foreign exchange adjustments,-95,20,-25
Impact of tax rates applicable outside of Australia,-603,-167,-312
Other,365,-211,87
Income tax expense,10921,4708,5335
Royalty-related taxation (net of income tax benefit),229,66,194
Total taxation expense,11150,4774,5529
