,,Treasury,Share premium,Capital redemption,Profit and loss,Total
US$M,Share capital,shares(1),account,reserve,account,equity
Balance as at 1July 2020 Profit forthe year after taxation,"1,057",一,518,177,"7,622","9,374"
Other comprehensive income for the year:,-,-,-,-,"1,933","1,933"
Tax on employee entitlements taken to retained earnings,,,,,一,一
Actuarialloss on pension scheme,,,,,(1),(1)
Total comprehensive income for the year,,一,,一,"1,932",1.932
Transactions with owners:,,,,,,
Purchase of shares by ESOPtrusts,,(5),,,一,(5)
Employee share awards exercised net of employee contributions net of tax,,4,,,(4),一
Accruedemployee entitlement for unexercised awards,,,,,,
net of tax Dividends,-,- -,一 -,一 -,"1 (3,295)","1 (3,295)"
Balance as at 30 June 2021,"1,057",(1),518,177,"6,256","8,007"
Balance as at1 July 2019,1057,,518,177,9.588,"11,340"
Profit forthe year after taxation,1,,1,1,"1,054",1.054
Other comprehensive income for the year:,,,,,,
Tax on employee entitlements taken to retained earnings,,,,,,
Actuarial loss on pension scheme,,,,,,
Total comprehensive income for the year,,,,,1054,1.054
Transactions with owners:,,,,,,
Purchase of shares by ESOPtrusts,,（4),,,,（4)
Employee share awards exercised net of employee contributions net of tax,,4,,,（4),
Accrued employee entitlement for unexercised awards net of tax,,,,,4,
Dividends,1,,1,1,(3.020),4 (3.020)
Balance as at 30 June 2020,"1,057",,518,177,"7,622",9.374
